value_source_id,source_location,row_or_bucket_id,row_or_bucket_label,value,unit,financial_class,failure_unit_id,applicable_pathway_ids,role_in_loss,include_in_direct_denominator,allocation_rule,double_count_guardrail,status,notes
SITE_SOV_BOM_APPRAISAL,"site-controlled SOV, BOM, replacement appraisal, one-line, ownership agreement, and insured schedule",FW_VALUE_HAZUS_GSU_SUBSTATION_ASSEMBLY,Complete same-facility GSU/substation assembly,,site_USD_required,direct_hardware,FW_HAZUS_GSU_SUBSTATION_ASSEMBLY,flood_inundation_contact,direct_vulnerable_value_after_promotion,true,"Bind DR to the full non-overlapping direct replacement value of one actual facility-level GSU/substation; require value basis/date/currency, quantity one, exposure fraction, owner, project-owned status, and insured inclusion for insured views.","Mutually exclusive with all six FW_GSU component rows; do not use full project TIV, the 72 USD/kW mixed row, the legacy 9% share, or repeat one facility substation by turbine count.",required_external_withheld_before_promotion,"Reference evaluator emits DR only; scenario value binding remains consumer-side and noncanonical."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!12",WIND_VALUE_012_ELECTRICAL,Electrical infrastructure,72,2023_USD_per_kW,mixed_direct_hardware,FW_ELECTRICAL_ROLLUP_UNSPLIT,flood_inundation_contact,split_required,false,"Split among turbine-base, pad, collection, and substation components using a site/OEM schedule before any component loss.","Never use as the Hazus assembly denominator; do not add a legacy 9% substation share or repeat one GSU per turbine.",withheld_split_required,"Reference rollup only."
NREL_CWER_2024,"Wind_Map!12",FW_VALUE_GSU_SWITCHGEAR,Substation switchgear,,site_USD_required,direct_hardware,FW_GSU_SWITCHGEAR,flood_inundation_contact,direct_vulnerable_value,false,"Site component value and ownership required for a future component record.","When FW_HAZUS_GSU_SUBSTATION_ASSEMBLY is selected, this component value and response must be excluded; never apply DR to the full 72 USD/kW row or project TIV.",withheld_value_curve_and_ownership,"No public split and no component runtime curve."
NREL_CWER_2024,"Wind_Map!12",FW_VALUE_GSU_TRANSFORMER_MAIN,Plant GSU main transformer,,site_USD_required,direct_hardware,FW_GSU_TRANSFORMER_MAIN,flood_inundation_contact,direct_vulnerable_value,false,"Site component value and ownership required for a future component record.","When FW_HAZUS_GSU_SUBSTATION_ASSEMBLY is selected, exclude this row; do not use control exposure against full transformer value without a dependency-safe state.",withheld_value_curve_and_ownership,"No public split and no component runtime curve."
NREL_CWER_2024,"Wind_Map!12",FW_VALUE_GSU_TRANSFORMER_AUX,GSU auxiliaries and controls,,site_USD_required,direct_hardware,FW_GSU_TRANSFORMER_AUX_CONTROLS,flood_inundation_contact,direct_vulnerable_value,false,"Separate SOV/BOM or dependency-safe assembly required for a future component record.","When FW_HAZUS_GSU_SUBSTATION_ASSEMBLY is selected, exclude this row; never duplicate value inside main transformer and auxiliaries.",withheld_value_curve_and_ownership,"No public split and no component runtime curve."
NREL_CWER_2024,"Wind_Map!12",FW_VALUE_GSU_PROTECTION,Protection SCADA and control,,site_USD_required,direct_hardware,FW_GSU_PROTECTION_SCADA,flood_inundation_contact,direct_vulnerable_value,false,"Separate physical equipment value from outage consequence for a future component record.","When FW_HAZUS_GSU_SUBSTATION_ASSEMBLY is selected, exclude this row; never convert MW outage to value or add plant BI.",withheld_value_curve_and_ownership,"No public split and no component runtime curve."
NREL_CWER_2024,"Wind_Map!12",FW_VALUE_GSU_STATION_DC,Station service and DC power,,site_USD_required,direct_hardware,FW_GSU_STATION_SERVICE_DC,flood_inundation_contact,direct_vulnerable_value,false,"Site equipment schedule required for a future component record.","When FW_HAZUS_GSU_SUBSTATION_ASSEMBLY is selected, exclude this row; never include it twice through protection/control value.",withheld_value_curve_and_ownership,"No public split and no component runtime curve."
NREL_CWER_2024,"Wind_Map!12",FW_VALUE_GSU_TERMINATIONS,GSU cable terminations and pathways,,site_USD_required,direct_hardware,FW_GSU_CABLE_TERMINATIONS,flood_inundation_contact,direct_vulnerable_value,false,"Separate cable body, joints, terminations, pull boxes, and conduits for a future component record.","When FW_HAZUS_GSU_SUBSTATION_ASSEMBLY is selected, exclude this row; never apply a full cable-rollup DR to pathway damage.",withheld_value_curve_and_ownership,"No public split and no component runtime curve."
NREL_CWER_2024,"Wind_Map!12",FW_VALUE_TURBINE_BASE,Turbine-base power electronics and switchgear,,site_USD_required,direct_hardware,FW_TURBINE_BASE_ELECTRICAL,flood_inundation_contact,direct_vulnerable_value,false,"Split per turbine/cluster and use local equipment value.","Do not use solar inverter value, the Hazus facility-substation DR, or the full electrical rollup.",withheld_split_and_curve_required,"Wind-specific inventory."
NREL_CWER_2024,"Wind_Map!12",FW_VALUE_PAD_TRANSFORMER,Pad or turbine step-up transformer,,site_USD_required,direct_hardware,FW_PADMOUNT_STEPUP_TRANSFORMER,flood_inundation_contact,direct_vulnerable_value,false,"Split by installed units and ownership.","Do not include inside turbine equipment and external electrical twice or use the Hazus facility-substation DR.",withheld_split_and_curve_required,"Wind-specific inventory."
