parameter,pathway_id,curve_id,value,param_role,tier,source_ids,reasoning,status,update_trigger
Perry_compatibility_source_derived_record_count,tropical_cyclone_wind,TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1,1,capability,T4_placeholder_or_expert_judgment,GOVERNANCE_CONTRACT,"One narrow noncanonical source-unit curve passes the screening gate. This count is scoped to the preserved Perry route, not the v2 package.",adopt,Promotion or model revision.
source_manual_csv_sha256,tropical_cyclone_wind,TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1,edb34e74cc078bba1fdbe34463abadc794fd416caa66eb64ac3d0ed176ac5e00,provenance_pin,T1_claims_or_field_calibrated,TCWS-S020,Pins the exact reviewed source file.,adopt,Source file changes.
source_cohort_filter,tropical_cyclone_wind,TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1,mounting_type=ground AND tracking=false,selector,T1_claims_or_field_calibrated,TCWS-S020,Separates the only adequately populated explicit architecture cohort.,adopt_with_limits,Architecture labels or source population changes.
source_cohort_n,tropical_cyclone_wind,TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1,35,sample_size,T1_claims_or_field_calibrated,TCWS-S020,All fixed ground source-cohort records including the tail audit point.,adopt,Source changes.
runtime_fit_n,tropical_cyclone_wind,TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1,34,sample_size,T3_engineering_proxy_or_adjacent_empirical,TCWS-S020;GOVERNANCE_CONTRACT,Excludes the single 48.2 m/s sparse-tail observation.,adopt_with_limits,Tail evidence improves.
source_axis_id,tropical_cyclone_wind,TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1,PERRY_DATASET_REPORTED_EVENT_MAX_GUST_MPS,axis,T1_claims_or_field_calibrated,TCWS-S020;TCWS-S021,"Preserves the dataset-reported field without attributing one provider or inventing averaging, height, station, or query semantics for the full manual cohort.",adopt_with_limits,Source documentation clarifies the full manual-cohort weather lineage.
valid_range_mps,tropical_cyclone_wind,TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1,17.4|39.1,boundary_or_cap,T3_engineering_proxy_or_adjacent_empirical,TCWS-S020;GOVERNANCE_CONTRACT,Source-bounded fit domain before the isolated severe-tail gap.,adopt_with_limits,Tail evidence improves.
fit_method,tropical_cyclone_wind,TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1,equal_record_weighted_PAVA_then_block_edge_linearization,curve_fit_shape,T3_engineering_proxy_or_adjacent_empirical,TCWS-S020;GOVERNANCE_CONTRACT,The 34 retained event/site records receive equal record weight; repeated physical sites mean this is not unique-site weighting.,adopt_with_limits,Reviewed predictive method replaces screening fit.
interpolation_policy,tropical_cyclone_wind,TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1,linear_between_source_knots,curve_fit_shape,T3_engineering_proxy_or_adjacent_empirical,GOVERNANCE_CONTRACT,Continuous deterministic interpolation between governed block edges.,adopt_with_limits,Method revision.
extrapolation_policy,tropical_cyclone_wind,TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1,withhold outside 17.4-39.1 m/s,boundary_or_cap,T4_placeholder_or_expert_judgment,GOVERNANCE_CONTRACT,No source-supported tail or low-end extrapolation.,adopt,New evidence expands range.
