value_source_id,source_location,row_or_bucket_id,row_or_bucket_label,value,unit,financial_class,failure_unit_id,applicable_pathway_ids,role_in_loss,include_in_direct_denominator,allocation_rule,double_count_guardrail,status,notes
"SITE_SPECIFIC_REQUIRED","site BOM/SOV/appraisal","PV_PERRY_VISIBLE_MODULE_HARDWARE","Visible or missing module hardware material acquisition value","site_specific_required","USD at declared valuation date","direct_hardware","PV_PERRY_GROUND_FIXED_VISIBLE_MODULE_HARDWARE_SOURCE_UNIT","tropical_cyclone_wind","future same-unit denominator","false","Only after canonical promotion may a revised crosswalk bind the exact compatible module-hardware population once, with uniform-value assumption explicitly accepted.","Never include racking, removal, reinstall, freight, tax, electrical, GSU, civil, support, BI, or full TIV.","candidate_not_runtime_loss","The noncanonical evaluator emits DR only; this proposal activates no dollar denominator."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!2","SOLAR_VALUE_002_MODULE","Module hardware reference benchmark","291.21485143992487","2024_USD_per_kWdc","direct_hardware","PV_FIXED_TILT_MODULE_FIELD","tropical_cyclone_wind","anatomy and reconciliation only","false","Do not default an unknown site to this benchmark.","Do not multiply the source-specific curve by full plant TIV or describe benchmark loss as site loss.","reference_only","TCWS-S013; generic module-field value is broader than the source-specific atom."
"WITHHELD","none","PV_FIXED_TILT_SUPPORT_STRUCTURE","Fixed-tilt racks, posts, braces, clamps, and connections","withheld","not_applicable","direct_hardware","PV_FIXED_TILT_SUPPORT_STRUCTURE","tropical_cyclone_wind","withheld","false","Require a separate failure-unit response and same-unit value.","Do not inherit module DR.","withheld","No runtime curve."
"WITHHELD","none","PV_TRACKER_MODULE_FIELD","Tracker module hardware","withheld","not_applicable","direct_hardware","PV_TRACKER_MODULE_FIELD","tropical_cyclone_wind","withheld","false","Require tracker-specific evidence.","No fixed-to-tracker fallback.","withheld","Only two source-cohort tracking records."
"WITHHELD","none","PV_TRACKER_SBOS_ASSEMBLY","Tracker structural balance of system","withheld","not_applicable","direct_hardware","PV_TRACKER_SBOS_ASSEMBLY","tropical_cyclone_wind","withheld","false","Require exact system and control-state response.","No stow or fixed-tilt transfer.","withheld","No runtime curve."
"WITHHELD","none","PV_FOUNDATION","Foundations and anchors","withheld","not_applicable","direct_hardware","PV_FOUNDATION","tropical_cyclone_wind","withheld","false","Separate foundation response and value.","Do not inherit visible module DR.","withheld","No runtime curve."
"WITHHELD","none","PV_POWER_CONVERSION_AND_COLLECTION","Inverters, combiners, cables, and collection","withheld","not_applicable","direct_hardware","PV_POWER_CONVERSION_AND_COLLECTION","tropical_cyclone_wind","withheld","false","Split point, line, and network units.","Do not inherit visible module DR.","withheld","No runtime curve."
"WITHHELD","none","PV_GSU_SUBSTATION","GSU transformer, switchyard, protection, and controls","withheld","not_applicable","direct_hardware","PV_GSU_SUBSTATION","tropical_cyclone_wind","withheld","false","Use shared anatomy but cell-local wind evidence, exposure, value, and release.","Do not inherit flood, wind-farm, or array response.","withheld","Facility-level shared subasset."
"WITHHELD","none","PV_SCADA_COMMUNICATIONS","SCADA and communications","withheld","not_applicable","direct_hardware","PV_SCADA_COMMUNICATIONS","tropical_cyclone_wind","withheld","false","Require separate mechanism and value.","Do not inherit visible module DR.","withheld","No runtime curve."
"WITHHELD","none","PV_CIVIL_INFRA","Roads, fences, drainage, and buildings","withheld","not_applicable","direct_hardware","PV_CIVIL_INFRA","tropical_cyclone_wind","withheld","false","Split subjects and pathways.","Do not inherit visible module DR.","withheld","Mixed bucket."
"WITHHELD","none","PV_REPLACEMENT_SUPPORT","Removal, reinstall, field labor, freight, and logistics","withheld","not_applicable","support_cost","PV_REPLACEMENT_SUPPORT","tropical_cyclone_wind","withheld","false","Allocate once only after qualified disposition.","Never embed support in the material proxy and add it again.","withheld","No independent fragility."
