claim_id,pathway_id,claim_text,claim_type,source_ids,exact_locator,evidence_tier,parameter_or_rule,adoption_status,permitted_inference,prohibited_inference,reasoning,update_trigger
"TCWS-C101","tropical_cyclone_wind","The Perry manual dataset contains 47 records, including 37 ground-mounted and 35 ground-mounted records explicitly marked tracking false.","direct_observation","TCWS-S020","manual CSV filter counts pinned to source SHA","T1_claims_or_field_calibrated","source_cohort_count","adopt","Freeze the exact source-cohort selection.","Call all 35 records utility-scale or representative of a named modern fleet.","System size is missing for part of the cohort and the source does not declare one target utility archetype.","A licensed revised source file or corrected schema changes the counts."
"TCWS-C102","tropical_cyclone_wind","The manual endpoint is percent modules visibly damaged based on post-event imagery and labeled site/damage polygons.","direct_observation","TCWS-S003;TCWS-S020;TCWS-S021","paper method and data-description pp. 1-2","T1_claims_or_field_calibrated","source_response_endpoint","adopt_with_limits","Use the visible module fraction as a graded physical response.","Infer hidden electrical or structural damage, disposition, labor, or whole-site cost.","Remote sensing observes exterior visible damage only.","A source revision adds inspected disposition and same-unit cost."
"TCWS-C103","tropical_cyclone_wind","Under uniform per-module hardware value and full replacement of every visible or missing module, visible module fraction equals a same-unit module-hardware material replacement proxy DR.","governance_assumption","TCWS-S020;TCWS-S021;GOVERNANCE_CONTRACT","v1 ordinate bridge derivation","T4_placeholder_or_expert_judgment","uniform_value_and_full_replacement_bridge","adopt_with_limits","Emit a source-specific module-hardware screening DR only when both assumptions are explicitly acknowledged.","Describe the result as observed economic loss, claims-calibrated DR, installed replacement cost, or full module-field all-damage DR.","The physical numerator and denominator align only because the two economic bridge assumptions are imposed.","Disposition or module-level value evidence replaces either assumption."
"TCWS-C104","tropical_cyclone_wind","The source x field is the dataset-reported event maximum gust in m/s; provider, station, height, averaging period, exposure, and query semantics are not pinned for the full manual multi-hurricane cohort.","direct_observation","TCWS-S020;TCWS-S021","manual CSV max_wind_gust_(m/s) and data-description weather notes","T1_claims_or_field_calibrated","hazard_axis","adopt_with_limits","Require the exact dataset-reported axis identifier.","Alias NHC sustained wind, ASCE 3-second gust, array-height wind, Visual Crossing generally, or another gust product.","A numeric gust without complete source semantics is not universally transferable.","The archive publishes exact full-cohort weather-query semantics or an approved bridge is validated."
"TCWS-C105","tropical_cyclone_wind","The runtime fit uses 34 source-cohort records from 17.4 through 39.1 m/s.","derived_result","TCWS-S020;GOVERNANCE_CONTRACT","ground and tracking=false; x<=39.1 filter","T3_engineering_proxy_or_adjacent_empirical","fit_population_and_range","adopt","Evaluate only inside the governed source-bounded range.","Extrapolate below 17.4 or above 39.1 m/s.","The next observed point is a lone severe-tail record separated by a 9.1 m/s gap.","A sufficiently populated tail dataset supports a revised range."
"TCWS-C106","tropical_cyclone_wind","The one 48.2 m/s source-cohort record has visible damage fraction 0.4142383192 and is audit-only.","direct_observation","TCWS-S020","manual CSV source cohort sparse-tail record","T1_claims_or_field_calibrated","sparse_tail_audit","withhold_runtime","Retain the point in evidence QA and tail-influence discussion.","Use it as a runtime knot or interpolate the 39.1-48.2 m/s gap.","One clustered observation cannot stabilize the severe tail.","Additional architecture-matched observations close the gap and tail."
"TCWS-C107","tropical_cyclone_wind","The runtime curve is an unweighted site-level monotone PAVA fit linearized at pooled-block edges.","method_decision","TCWS-S020;GOVERNANCE_CONTRACT","FIT_SUFFICIENT_STATISTICS and derivation script","T3_engineering_proxy_or_adjacent_empirical","fit_method","adopt_with_limits","Reproduce deterministic nondecreasing block means and linear interpolation between recorded edges.","Claim a source-published curve, iid confidence interval, claims calibration, or causal parametric fragility.","Site weighting avoids inventing module counts; monotonic pooling is transparent for sparse zero-inflated observations.","A reviewed cluster-aware predictive method supersedes the screening fit."
"TCWS-C108","tropical_cyclone_wind","No curve-intrinsic uncertainty distribution is carried.","governance_decision","TCWS-S020;GOVERNANCE_CONTRACT","FIT_EVENT_SENSITIVITY_tropical_cyclone_wind_solar__model_v1_0__docs_r1.csv","T4_placeholder_or_expert_judgment","uncertainty_status","withhold","Flag event clustering and fit sensitivity.","Treat row count as iid evidence or construct unsupported confidence bands.","Events and sites are clustered; leave-Maria-out reduces the highest fitted block by about 5.41 times and the severe tail is sparse.","A hierarchical event-aware uncertainty model passes review."
"TCWS-C109","tropical_cyclone_wind","The observed site fraction already contains realized spatial extent and must not be multiplied by a second array exposure fraction.","governance_decision","TCWS-S003;TCWS-S020;TCWS-S021","source endpoint definition","T3_engineering_proxy_or_adjacent_empirical","exposure_rule","adopt","Apply the DR once to the exact compatible module-hardware subject value.","Apply an additional at-risk fraction or site overlap multiplier to the same response.","A second fraction would double-attenuate the observed response.","A future local-demand model changes the response grain."
"TCWS-C110","tropical_cyclone_wind","The source does not isolate pure aerodynamic uplift from cascade or debris-related visible module loss.","source_interpretation","TCWS-S003;TCWS-S020;TCWS-S021","paper discussion and dataset fields","T3_engineering_proxy_or_adjacent_empirical","causal_scope_acknowledgement","adopt_with_limits","Label output SOURCE_COMPOSITE_HURRICANE_MODULE_LOSS.","Present the proxy as pure wind-pressure fragility or combine it with a debris module curve without overlap review.","Post-event imagery does not identify the causal mechanism of each damaged module.","Mechanism-labeled event observations become available."
