parameter,pathway_id,curve_id,value,param_role,tier,source_ids,reasoning,status,update_trigger
"runtime_curve_count","tropical_cyclone_wind","none","0","capability","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","No failure-unit economic damage curve passed the seven-step and evidence-chain gates.","adopt","Reviewed model v1.0 promotion."
"canonical_runtime_artifact","tropical_cyclone_wind","none","false","release_state","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","This is a coverage-first research scaffold, not a consumer-pinnable runtime artifact.","adopt","Explicit maintainer promotion after all gates pass."
"source_wind_averaging_period_s","tropical_cyclone_wind","none","60","source_axis","T2_public_lab_standard_or_physics","TCWS-S001","Official NHC maximum-sustained-surface-wind semantics.","adopt_with_limits","NHC definition or upstream source product changes."
"source_wind_height_m","tropical_cyclone_wind","none","10","source_axis","T2_public_lab_standard_or_physics","TCWS-S001","Official NHC maximum-sustained-surface-wind semantics.","adopt_with_limits","NHC definition or upstream source product changes."
"source_wind_exposure_convention","tropical_cyclone_wind","none","NHC_UNOBSTRUCTED_EXPOSURE","source_axis","T2_public_lab_standard_or_physics","TCWS-S001","Official source-native reference convention must travel with the value.","adopt_with_limits","NHC definition or upstream source product changes."
"runtime_damage_axis","tropical_cyclone_wind","none","WITHHELD_PENDING_ARCHITECTURE_SPECIFIC_TC_BRIDGE","axis","T3_engineering_proxy_or_adjacent_empirical","TCWS-S001;TCWS-S002;TCWS-S005;TCWS-S010;TCWS-S011","Source evidence uses incompatible storm-field, reconstructed-gust, pressure, and exact-system critical-speed quantities.","withhold","One qualified bridge and matching target curve pass review."
"permitted_array_architectures","tropical_cyclone_wind","none","fixed_tilt_ground_mount|single_axis_tracker","selector","T2_public_lab_standard_or_physics","TCWS-S005;TCWS-S006;TCWS-S007;TCWS-S010;TCWS-S011;TCWS-S012","Architecture materially changes wind demand and failure mechanisms.","adopt","Scope or equivalence evidence changes."
"missing_array_architecture_policy","tropical_cyclone_wind","none","REJECT_NO_DEFAULT","governance_rule","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","Generic ground-mount routing would silently mix rigid and aeroelastic mechanisms.","adopt","A governed generic record is validated."
"fixed_tilt_local_demand_bridge","tropical_cyclone_wind","PV_FIXED_TILT_MODULE_FIELD|PV_FIXED_TILT_SUPPORT_STRUCTURE","WITHHELD","axis_bridge","T2_public_lab_standard_or_physics","TCWS-S005;TCWS-S010","Design provisions and wind-tunnel coefficients constrain a future bridge but are not themselves a qualified TC demand product or damage curve.","withhold","Qualified site TC reconstruction and fixed-tilt demand validation."
"tracker_local_demand_bridge","tropical_cyclone_wind","PV_TRACKER_MODULE_FIELD|PV_TRACKER_SBOS_ASSEMBLY","WITHHELD","axis_bridge","T2_public_lab_standard_or_physics","TCWS-S006;TCWS-S007;TCWS-S011;TCWS-S012","Ucrit and response are exact-system, configuration, row, angle, direction, and speed-basis dependent.","withhold","Structured exact-system qualification and TC profile bridge pass."
"tracker_qualification_basis","tropical_cyclone_wind","PV_TRACKER_MODULE_FIELD|PV_TRACKER_SBOS_ASSEMBLY","EXACT_SYSTEM_AND_STATE_REQUIRED","selector_contract","T2_public_lab_standard_or_physics","TCWS-S006;TCWS-S007;TCWS-S011;TCWS-S012","Generic tracker aliases cannot support critical-speed normalization.","adopt","A certified equivalence catalog is governed."
"unknown_tracker_state_credit","tropical_cyclone_wind","PV_TRACKER_MODULE_FIELD|PV_TRACKER_SBOS_ASSEMBLY","NO_FAVORABLE_CREDIT","conditioner_rule","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","Commanded state does not prove attained angle, lock, power, or position.","adopt","Validated missing-state model is approved."
"fm_stow_action_ratio_to_tested_ucrit","tropical_cyclone_wind","PV_TRACKER_MODULE_FIELD|PV_TRACKER_SBOS_ASSEMBLY","0.75","operational_flag","T2_public_lab_standard_or_physics","TCWS-S006","FM specifies action at a speed 25 percent below tested instability speed.","adopt_flag_only","FM revises criterion or matched damage data establish a separate response."
"fm_stow_action_ratio_damage_meaning","tropical_cyclone_wind","PV_TRACKER_MODULE_FIELD|PV_TRACKER_SBOS_ASSEMBLY","NOT_DAMAGE_ONSET_OR_ZERO_BOUNDARY","governance_rule","T2_public_lab_standard_or_physics","TCWS-S006","The cited number is an operating margin and carries no fragility or severity endpoint.","adopt","Source scope changes."
"ceferino_candidate_endpoint","tropical_cyclone_wind","CEFERINO_GROUND_MOUNT_EXTENSIVE_FAILURE_CANDIDATE_ONLY","P_SITE_CLIP_OR_RACKING_FAILURE_IN_MORE_THAN_50_PERCENT_OF_PANELS","fragility_endpoint","T1_claims_or_field_calibrated","TCWS-S002","Exact source-native composite site limit state.","audit_only","Failure-unit disposition and economic bridge pass review."
"ceferino_ground_mount_site_count","tropical_cyclone_wind","CEFERINO_GROUND_MOUNT_EXTENSIVE_FAILURE_CANDIDATE_ONLY","14","sample_size","T1_claims_or_field_calibrated","TCWS-S002","Table 1 ground-mounted Caribbean sample.","audit_only","Dataset revision or expanded population."
"ceferino_ground_mount_significant_failure_count","tropical_cyclone_wind","CEFERINO_GROUND_MOUNT_EXTENSIVE_FAILURE_CANDIDATE_ONLY","5_of_14","field_observation","T1_claims_or_field_calibrated","TCWS-S002","Observed source-native significant-failure classification.","audit_only","Record-level source correction."
"ceferino_ground_mount_v_median_mps","tropical_cyclone_wind","CEFERINO_GROUND_MOUNT_EXTENSIVE_FAILURE_CANDIDATE_ONLY","approximately_90","fragility_location_summary","T1_claims_or_field_calibrated","TCWS-S002","Posterior median for source-native reconstructed 3-second-gust fragility.","defer_candidate_only","Transfer-qualified failure-unit and economic bridge."
"ceferino_ground_mount_beta_median","tropical_cyclone_wind","CEFERINO_GROUND_MOUNT_EXTENSIVE_FAILURE_CANDIDATE_ONLY","approximately_0.15","fragility_dispersion_summary","T1_claims_or_field_calibrated","TCWS-S002","Posterior median for the source-native lognormal fragility parameter.","defer_candidate_only","Transfer-qualified failure-unit and economic bridge."
"ceferino_ground_mount_v_posterior_sd_mps","tropical_cyclone_wind","CEFERINO_GROUND_MOUNT_EXTENSIVE_FAILURE_CANDIDATE_ONLY","approximately_6","parameter_uncertainty","T1_claims_or_field_calibrated","TCWS-S002","Reported uncertainty in the v posterior is load-bearing for the small sample.","audit_only","Full posterior artifact or source revision."
"ceferino_ground_mount_beta_posterior_sd","tropical_cyclone_wind","CEFERINO_GROUND_MOUNT_EXTENSIVE_FAILURE_CANDIDATE_ONLY","approximately_0.07","parameter_uncertainty","T1_claims_or_field_calibrated","TCWS-S002","Reported uncertainty in the beta posterior is load-bearing for the small sample.","audit_only","Full posterior artifact or source revision."
"ceferino_mean_posterior_transition_mps","tropical_cyclone_wind","CEFERINO_GROUND_MOUNT_EXTENSIVE_FAILURE_CANDIDATE_ONLY","approximately_[73,116]_for_[P10,P90]","source_curve_summary","T1_claims_or_field_calibrated","TCWS-S002","Reported approximate 10-to-90-percent range of the posterior-mean site fragility.","audit_only","Full posterior artifact or source revision."
"ceferino_posterior_reduction_rule","tropical_cyclone_wind","CEFERINO_GROUND_MOUNT_EXTENSIVE_FAILURE_CANDIDATE_ONLY","DO_NOT_LABEL_MEDIAN_PARAMETER_PLUGIN_AS_POSTERIOR_MEAN","governance_rule","T1_claims_or_field_calibrated","TCWS-S002","The source integrates over parameter uncertainty; plug-in and posterior-mean curves differ.","adopt","Authors publish an authoritative deterministic reduction."
"ceferino_architecture_split","tropical_cyclone_wind","CEFERINO_GROUND_MOUNT_EXTENSIVE_FAILURE_CANDIDATE_ONLY","WITHHELD","selector_bridge","T1_claims_or_field_calibrated","TCWS-S002","The 14-site table does not distinguish fixed tilt from tracker.","withhold","Architecture records for the sample are verified."
"ceferino_probability_to_economic_dr_bridge","tropical_cyclone_wind","CEFERINO_GROUND_MOUNT_EXTENSIVE_FAILURE_CANDIDATE_ONLY","WITHHELD","consequence_bridge","T1_claims_or_field_calibrated","TCWS-S002;GOVERNANCE_CONTRACT","Site extensive-failure probability is not failure-unit physical economic DR.","withhold","Same-unit disposition, salvage, and direct-cost evidence passes review."
"perry_hurricane_site_count","tropical_cyclone_wind","PERRY_VISIBLE_DAMAGE_CANDIDATE_ONLY","1534","sample_size","T1_claims_or_field_calibrated","TCWS-S003","Mixed residential, commercial, and utility remote-sensing population.","audit_only","Target-asset subset is released."
"perry_any_visible_damage_fraction","tropical_cyclone_wind","PERRY_VISIBLE_DAMAGE_CANDIDATE_ONLY","0.17","field_observation","T1_claims_or_field_calibrated","TCWS-S003","Aggregate visible post-hurricane damage statistic.","audit_only","Target-asset and architecture-specific calibration."
"perry_more_than_50_percent_visible_damage_fraction","tropical_cyclone_wind","PERRY_VISIBLE_DAMAGE_CANDIDATE_ONLY","0.028","field_observation","T1_claims_or_field_calibrated","TCWS-S003","Aggregate visible-damage severity statistic.","audit_only","Target-asset and architecture-specific calibration."
"perry_visible_damage_to_economic_dr_bridge","tropical_cyclone_wind","PERRY_VISIBLE_DAMAGE_CANDIDATE_ONLY","WITHHELD","consequence_bridge","T1_claims_or_field_calibrated","TCWS-S003","Manual imagery does not measure component disposition, hidden damage, salvage, or direct cost.","withhold","Linked inspection, work-order, and cost records become available."
"st_croix_case_population_count","tropical_cyclone_wind","ST_CROIX_COMPOUND_CASE_ONLY","1","case_count","T3_engineering_proxy_or_adjacent_empirical","TCWS-S004","One detailed 469 kW fixed-tilt site case supports anatomy and mechanisms only.","audit_only","Comparable multi-site forensic population becomes available."
"st_croix_wind_only_threshold","tropical_cyclone_wind","ST_CROIX_COMPOUND_CASE_ONLY","NOT_IDENTIFIED","transfer_limit","T3_engineering_proxy_or_adjacent_empirical","TCWS-S004","Wind, driven rain, flash flood, corrosion, and electrical ingress were combined.","adopt","Forensic causal apportionment and local demand reconstruction are validated."
"reference_value_source_id","all_shared","none","NLR_Q1_2025_UPV_PV_ONLY_2024_USD","value_lineage","T2_public_lab_standard_or_physics","TCWS-S013","The parent solar value ledger supplies row-level reference units and denominator reconciliation only.","adopt_with_limits","New benchmark vintage or site-specific ledger."
"PV_FIXED_TILT_MODULE_FIELD_runtime_curve","tropical_cyclone_wind","PV_FIXED_TILT_MODULE_FIELD","WITHHELD_NO_RUNTIME_CURVE","coverage_state","T4_placeholder_or_expert_judgment","TCWS-S002;TCWS-S003;GOVERNANCE_CONTRACT","Site and visible-damage evidence does not close module disposition and cost.","withhold","Module-specific TC demand, state, salvage, and cost chain passes."
"PV_FIXED_TILT_SUPPORT_STRUCTURE_runtime_curve","tropical_cyclone_wind","PV_FIXED_TILT_SUPPORT_STRUCTURE","WITHHELD_NO_RUNTIME_CURVE","coverage_state","T4_placeholder_or_expert_judgment","TCWS-S002;TCWS-S004;TCWS-S010;GOVERNANCE_CONTRACT","Structural mechanisms exist, but no qualified local-demand-to-state-to-cost curve does.","withhold","Fixed-tilt support chain passes."
"PV_TRACKER_MODULE_FIELD_runtime_curve","tropical_cyclone_wind","PV_TRACKER_MODULE_FIELD","WITHHELD_NO_RUNTIME_CURVE","coverage_state","T4_placeholder_or_expert_judgment","TCWS-S006;TCWS-S007;TCWS-S011;TCWS-S012;GOVERNANCE_CONTRACT","Architecture-specific TC field and module consequence evidence are absent.","withhold","Exact-system tracker module chain passes."
"PV_TRACKER_SBOS_ASSEMBLY_runtime_curve","tropical_cyclone_wind","PV_TRACKER_SBOS_ASSEMBLY","WITHHELD_NO_RUNTIME_CURVE","coverage_state","T4_placeholder_or_expert_judgment","TCWS-S006;TCWS-S007;TCWS-S011;TCWS-S012;GOVERNANCE_CONTRACT","Qualification and instability evidence do not supply population failure disposition or cost.","withhold","Exact-system tracker SBOS chain passes."
"PV_FOUNDATION_runtime_curve","tropical_cyclone_wind","PV_FOUNDATION","WITHHELD_NOT_ZERO","coverage_state","T4_placeholder_or_expert_judgment","TCWS-S004;TCWS-S013;GOVERNANCE_CONTRACT","Foundation boundary, geotechnical state, spatial grain, and TC response are unresolved.","withhold","Foundation-specific chain passes."
"PV_POWER_CONVERSION_AND_COLLECTION_runtime_curve","tropical_cyclone_wind","PV_POWER_CONVERSION_AND_COLLECTION","WITHHELD_NOT_ZERO","coverage_state","T4_placeholder_or_expert_judgment","TCWS-S004;TCWS-S009;TCWS-S013;GOVERNANCE_CONTRACT","Point, line, enclosure, pressure, debris, and ingress mechanisms need separate evidence.","withhold","Unit-specific direct TC-wind chain passes."
"PV_GSU_SUBSTATION_runtime_curve","tropical_cyclone_wind","PV_GSU_SUBSTATION","WITHHELD_NOT_ZERO_NO_LEGACY_INHERITANCE","coverage_state","T4_placeholder_or_expert_judgment","TCWS-S004;TCWS-S013;LEG-TCWS-001;LEG-TCWS-002;GOVERNANCE_CONTRACT","Shared point/yard exposure and GSU-specific wind response are unresolved; legacy generic substation response is unsupported.","withhold","GSU-specific TC wind, disposition, exposure, and cost chain passes."
"PV_SCADA_COMMUNICATIONS_runtime_curve","tropical_cyclone_wind","PV_SCADA_COMMUNICATIONS","WITHHELD_NOT_ZERO","coverage_state","T4_placeholder_or_expert_judgment","TCWS-S009;TCWS-S013;GOVERNANCE_CONTRACT","Control dependency does not create a direct SCADA physical-loss curve.","withhold","SCADA-specific direct mechanism and cost chain passes."
"PV_CIVIL_INFRA_runtime_curve","tropical_cyclone_wind","PV_CIVIL_INFRA","WITHHELD_NOT_ZERO","coverage_state","T4_placeholder_or_expert_judgment","TCWS-S013;GOVERNANCE_CONTRACT","Mixed road, fence, grading, and building subjects require a spatial and value split.","withhold","Subjects are split and separately supported."
"PV_REPLACEMENT_SUPPORT_intrinsic_curve","all_shared","PV_REPLACEMENT_SUPPORT","NONE_ALLOCATION_ONLY","support_rule","T4_placeholder_or_expert_judgment","TCWS-S013;GOVERNANCE_CONTRACT","Support costs may be allocated once only after a qualified direct repair scope.","adopt_with_limits","Claims-backed reinstatement allocation is governed."
