value_source_id,source_location,row_or_bucket_id,row_or_bucket_label,value,unit,financial_class,failure_unit_id,applicable_pathway_ids,role_in_loss,include_in_direct_denominator,allocation_rule,double_count_guardrail,status,notes
JAIMES_CT_H,Jaimes 2020 §3.2 and Table 1 footnote,JAIMES_VALUE_1MW_HH44,Source-native 1 MW/44 m turbine-tower exposure proxy,1281322.377752261,source_nominal_USD_vintage_unspecified,source_replacement_proxy,WT_JAIMES_TURBINE_TOWER_EXPOSURE_UNIT,tropical_cyclone_wind,source_denominator_audit,true,Ct(h)=1307.9*h^1.82 at h=44 m; audit only; no runtime dollar emit.,Mutually exclusive with every CWER mapping and with WT_TURBINE_EQUIPMENT_ASSEMBLY.,source_native_audit_only,"Paper wording mixes selected structure, turbine tower, and total turbine cost."
JAIMES_CT_H,Jaimes 2020 §3.2 and Table 1 footnote,JAIMES_VALUE_2P5MW_HH80,Source-native 2.5 MW/80 m turbine-tower exposure proxy,3803630.4553727144,source_nominal_USD_vintage_unspecified,source_replacement_proxy,WT_JAIMES_TURBINE_TOWER_EXPOSURE_UNIT,tropical_cyclone_wind,source_denominator_audit,true,Ct(h)=1307.9*h^1.82 at h=80 m; audit only; no runtime dollar emit.,Mutually exclusive with every CWER mapping and with WT_TURBINE_EQUIPMENT_ASSEMBLY.,source_native_audit_only,"Paper wording mixes selected structure, turbine tower, and total turbine cost."
JAIMES_CT_H,Jaimes 2020 §3.2 and Table 1 footnote,JAIMES_VALUE_3P3MW_HH100,Source-native 3.3 MW/100 m turbine-tower exposure proxy,5709190.569869134,source_nominal_USD_vintage_unspecified,source_replacement_proxy,WT_JAIMES_TURBINE_TOWER_EXPOSURE_UNIT,tropical_cyclone_wind,source_denominator_audit,true,Ct(h)=1307.9*h^1.82 at h=100 m; audit only; no runtime dollar emit.,Mutually exclusive with every CWER mapping and with WT_TURBINE_EQUIPMENT_ASSEMBLY.,source_native_audit_only,"Paper wording mixes selected structure, turbine tower, and total turbine cost."
NREL_CWER_2024,docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!2:9,CWER_TURBINE_EQUIPMENT,"Rotor, nacelle, yaw, power electronics, and tower equipment",1090,2023_USD_per_kW,direct_hardware,WT_TURBINE_EQUIPMENT_ASSEMBLY,tropical_cyclone_wind,comparison_only,false,No mapping until the source denominator and omitted failure modes are reconciled.,Do not multiply the Jaimes source-native DR by the 1090 USD/kW assembly.,withheld_crosswalk,Complete equipment bucket; Jaimes is tower-triggered and component-incomplete.
NREL_CWER_2024,docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!9,CWER_TOWER_MODULE,Tower module,276,2023_USD_per_kW,direct_hardware,WT_TURBINE_EQUIPMENT_ASSEMBLY,tropical_cyclone_wind,comparison_only,false,No tower-only mapping because the source economic consequence invokes total turbine cost.,Do not relabel the source-native atom as a tower-module DR.,withheld_crosswalk,Useful denominator sensitivity only.
NREL_CWER_2024,docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!10,CWER_FOUNDATION,Foundation,120,2023_USD_per_kW,direct_hardware,WT_FOUNDATION,tropical_cyclone_wind,withheld_unit_value,false,Separate same-unit curve required.,Unmodeled foundation damage is not zero and is not inherited from tower response.,withheld_no_curve,Per-turbine point value.
NREL_CWER_2024,docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!12,CWER_EXTERNAL_ELECTRICAL,Mixed external electrical,72,2023_USD_per_kW,mixed_direct_hardware,WT_PAD_MOUNTED_ELECTRICAL;WT_COLLECTION_SYSTEM;WT_GSU_SUBSTATION;WT_CONTROL_BUILDING_AND_SCADA,tropical_cyclone_wind,split_required,false,"Split pad point, line/network, facility GSU, and control values before curves.",Do not repeat facility value by turbine or allocate the mixed row without a governed rule.,withheld_split_required,Asset-neutral identities do not supply pathway-specific response.
NREL_CWER_2024,docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!11,CWER_CIVIL,"Site access, staging, and facilities",47,2023_USD_per_kW,mixed_civil,WT_CIVIL_INFRA,tropical_cyclone_wind,split_required,false,"Split roads, crane pads, buildings, and fences.",Do not set mixed civil to zero from direct-wind intuition.,withheld_split_required,Line/network/polygon grains differ.
NREL_CWER_2024,docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!13,CWER_FIELDWORK_SUPPORT,Assembly and installation,100,2023_USD_per_kW,replacement_support_cost,SUPPORT_FIELDWORK,all_shared,support_allocate_once,false,Allocate once after disposition under a reviewed repair-scope rule.,Do not assign an independent wind fragility or add automatically to source consequence ratios.,withheld_support_rule,Potential overlap with source assumed rebuild ratios.
NREL_CWER_2024,docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!14,CWER_TRANSPORT_SUPPORT,Wind turbine transport,194,2023_USD_per_kW,replacement_support_cost,SUPPORT_TRANSPORT_LOGISTICS,all_shared,support_allocate_once,false,Allocate once after replacement disposition and access/crane review.,Do not assign an independent wind fragility or add automatically to source consequence ratios.,withheld_support_rule,Potential overlap with source assumed rebuild ratios.
