claim_id,pathway_id,claim_text,claim_type,source_ids,exact_locator,evidence_tier,parameter_or_rule,adoption_status,permitted_inference,prohibited_inference,reasoning,update_trigger
TCWW-C025,tropical_cyclone_wind,"Jaimes publishes a bounded mean expected repair/replacement damage-ratio function, not only DS3 collapse fragility.",direct_observation,TCWW-S005,§2.3.2 Eq. 1 and §3.3.5 Figure 6,T3_engineering_proxy_or_adjacent_empirical,runtime_curve_family,adopt_screening_proposal,Evaluate the exact source family within its governed envelope.,"Call it empirical, claims-calibrated, or component-complete.",The full text explicitly defines the economic ordinate and fitted continuous functions.,Author correction or independent reproduction failure.
TCWW-C026,tropical_cyclone_wind,Eq. 1 is DR=0 for V<=90 and otherwise 1-exp[-ln(2)*((V-90)/delta_V50)^rho].,direct_observation,TCWW-S005,§2.3.2 Eq. 1; §3.3.5 Figure 6 parameters,T3_engineering_proxy_or_adjacent_empirical,thresholded_weibull_expected_damage,adopt_screening_proposal,Implement the exact fitted equation.,Treat delta_V50 as an absolute 50%-damage wind or substitute a logistic.,The published equation and Figure 6 resolve the typography.,Author correction or equation-reproduction failure.
TCWW-C027,tropical_cyclone_wind,"Absolute DR=0.5 occurs at V_zero+delta_V50: 196.77, 172.52, and 163.30 km/h.",derived_calculation,TCWW-S005,Eq. 1 evaluated with Figure 6 parameters,T3_engineering_proxy_or_adjacent_empirical,V_at_DR50_kmh,adopt,KAT the derived absolute half-damage winds.,Repeat the paper prose that V50 alone is the absolute wind.,Substitution into Eq. 1 produces exactly 0.5.,Equation or parameters change.
TCWW-C028,tropical_cyclone_wind,"The three exact selectors are 1 MW/44 m/50 m, 2.5 MW/80 m/90 m, and 3.3 MW/100 m/114 m.",direct_observation,TCWW-S005,Table 2,T3_engineering_proxy_or_adjacent_empirical,turbine_archetype_id,adopt_exact_only,Select only an explicitly named source archetype.,"Interpolate, nearest-match, or transfer to modern turbines.","The source models are discrete generic templates, not a continuous fleet model.",Matched modern archetype evidence.
TCWW-C029,tropical_cyclone_wind,The 1 MW hub height is 44 m in Table 2/body text but 40 m in figure captions.,direct_observation,TCWW-S005,Table 2 and Figures 5-6 captions,T3_engineering_proxy_or_adjacent_empirical,source_height_discrepancy_flag,adopt_flag,Use tabulated 44 m while emitting the discrepancy flag.,Silently normalize the source to 40 m or present it as consistent.,The tabulated model geometry is the stronger parameter locator.,Author correction.
TCWW-C030,tropical_cyclone_wind,The native x-axis is 3-second peak gust at 10 m in km/h.,direct_observation,TCWW-S005,§2.3.1; Eq. 1 variable definition,T3_engineering_proxy_or_adjacent_empirical,tc_peak_gust_3s_10m_kmh,adopt_exact_only,Evaluate source-native input only.,"Use NHC one-minute wind, category, hub wind, mph, knots, or m/s without a named bridge.","Height, averaging period, and unit are explicit.",Validated bridge approved as a later change.
TCWW-C031,tropical_cyclone_wind,The source response simulations span 108-252 km/h; the source equation separately defines a zero branch at V<=90.,direct_observation,TCWW-S005,§3.3.2 and Eq. 1,T3_engineering_proxy_or_adjacent_empirical,runtime_range_policy,adopt_fail_closed,Support 108-252; return flagged source-assumed zero at V<=90; withhold 90<V<108 and V>252.,Silently extrapolate the fitted curve outside the simulated range.,The numerical evidence range and analytic branch must remain distinct.,Matched evidence expands the supported range.
TCWW-C032,tropical_cyclone_wind,"The 90 km/h zero-damage threshold is an author assumption tied to typical cut-out speed, not an empirical immunity boundary.",direct_observation,TCWW-S005,§2.3.2 discussion after Eq. 1,T4_placeholder_or_expert_judgment,V_zero_kmh,adopt_with_flag,Carry SOURCE_ASSUMED_NO_DAMAGE_THRESHOLD_NOT_EMPIRICAL.,Claim physical immunity below 90 km/h.,The paper labels the threshold as assumed.,Matched low-severity observations.
TCWW-C033,tropical_cyclone_wind,"DS loss ratios are source-author assumptions: 2/43/100%, 4/48/100%, and 5/50/100% for the three classes.",direct_observation,TCWW-S005,§3.3.5 before Eqs. 12-13,T4_placeholder_or_expert_judgment,damage_state_consequences,adopt_as_source_assumption,Explain the economic screening grade.,Call consequences claims-derived or inspection-calibrated.,The authors state matching wind-farm loss data were unavailable.,Matched disposition and same-unit cost data.
TCWW-C034,tropical_cyclone_wind,Eq. 1 is a fitted continuous approximation and must not be replaced by the Eq. 12 state-mixture calculation.,governance_decision,TCWW-S005;GOVERNANCE_CONTRACT,§3.3.5 Eqs. 1 and 12-13; numerical reproduction,T4_placeholder_or_expert_judgment,runtime_equation_precedence,adopt,Pin one runtime interpretation: the published final Eq. 1 fit.,Mix KATs or ordinates from Eq. 12 into Eq. 1.,The two representations are not numerically identical.,Formal model redesign.
TCWW-C035,tropical_cyclone_wind,"The paper's denominator wording mixes selected structure, turbine tower, and total turbine cost.",direct_observation,TCWW-S005,"§2.3, §3.2 Table 1 footnote, §3.3.5",T4_placeholder_or_expert_judgment,source_denominator_scope,quarantine,Publish scalar DR only on a source-native atom pending valuation review.,"Map to CWER tower, equipment, physical plant, installed CAPEX, or TIV.",The source does not provide a clean modern component boundary.,Independent valuation crosswalk approval.
TCWW-C036,tropical_cyclone_wind,The source-native value proxy is Ct(h)=1307.9*h^1.82 USD per turbine/turbine-tower exposure record.,direct_observation,TCWW-S005,§3.2 and Table 1 footnote,T3_engineering_proxy_or_adjacent_empirical,JAIMES_CT_H_SOURCE_NATIVE_REPLACEMENT_PROXY,retain_audit_only,Reproduce source values for denominator review.,Treat the proxy as a modern site appraisal or known-vintage CWER value.,The paper supplies the formula but not a clean current value scope.,Valuation review or source clarification.
TCWW-C037,tropical_cyclone_wind,Jaimes tower states omit independent blade and other turbine-component failure modes.,direct_observation,TCWW-S005;TCWW-S008;TCWW-S014,Jaimes §3.3.3; Chen event damage records,T3_engineering_proxy_or_adjacent_empirical,partial_failure_unit_coverage,adopt_withholding,Quarantine the curve to WT_JAIMES_TURBINE_TOWER_EXPOSURE_UNIT.,Call it complete WT_TURBINE_EQUIPMENT_ASSEMBLY vulnerability.,Field cases show blade failure on surviving towers.,Component-complete matched evidence.
TCWW-C038,tropical_cyclone_wind,"Foundation, pad equipment, collection, GSU, controls, civil, and support are withheld rather than zero.",governance_decision,TCWW-S008;TCWW-S010;TCWW-S014;GOVERNANCE_CONTRACT,coverage and value crosswalk review,T4_placeholder_or_expert_judgment,failure_unit_coverage,adopt_fail_closed,Return null DR and reason codes for uncovered units.,Turn absent evidence into zero damage.,Coverage roles require explicit withheld states.,Unit-specific evidence and approved curves.
TCWW-C039,tropical_cyclone_wind,GSU/substation is one facility-level exposure and cannot be repeated by turbine count.,governance_decision,TCWW-S010;GOVERNANCE_CONTRACT,value/exposure and shared-substrate standards,T4_placeholder_or_expert_judgment,WT_GSU_SUBSTATION_exposure,adopt,Preserve facility grain and a separate pathway-specific response.,Roll GSU into each turbine or inherit flood/solar ordinates.,Shared identity does not erase exposure or pathway differences.,Approved asset registry changes.
TCWW-C040,tropical_cyclone_wind,The source model assumes generic fixed-base steel towers and documents an internally inconsistent parked/feathered rotor state with wind parallel to rotor and no yaw.,direct_observation,TCWW-S005,§§3.3.1-3.3.2,T3_engineering_proxy_or_adjacent_empirical,source_model_assumption_set_id,adopt_acknowledgement,Require an explicit source-state acknowledgement and grant no control credit.,"Label the curve healthy-yaw, failed-yaw, or universally protected.",The modeled state is load-bearing and internally inconsistent.,Author clarification or state-specific calibration.
TCWW-C041,tropical_cyclone_wind,NHC maximum sustained surface wind is a one-minute average at 10 m and is not interchangeable with the Jaimes 3-second-gust axis.,direct_observation,TCWW-S001;TCWW-S005,NHC glossary and Jaimes §2.3.1,T2_public_lab_standard_or_physics,axis_bridge_guardrail,adopt,Reject direct NHC input.,Apply a global gust factor.,Averaging-period mismatch is explicit.,Validated bridge approved.
TCWW-C042,tropical_cyclone_wind,"TC-spawned tornado, rain, debris, flood/surge/scour, lightning/fire, and BI remain separate pathways or stages.",governance_decision,TCWW-S006;TCWW-S007;GOVERNANCE_CONTRACT,scope and pathway standards,T4_placeholder_or_expert_judgment,pathway_partition,adopt,Preserve event_family_id while routing mechanisms separately.,Fold all hurricane consequences into this curve or add overlapping coastal wind loss.,Causal pathways and value charges differ.,Approved compound-event model.
